Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2000-04-01;EXPORTAÇÃO;0.0;0
2000-08-01;EXPORTAÇÃO;0.0;0
2000-12-01;EXPORTAÇÃO;419950.4202;59930153
2000-02-01;EXPORTAÇÃO;0.068537786;51
2000-01-01;EXPORTAÇÃO;0.0;0
2000-07-01;EXPORTAÇÃO;352685.9778;50862353
2000-06-01;EXPORTAÇÃO;66231.37008;8830391
2000-05-01;EXPORTAÇÃO;0.0;0
2000-03-01;EXPORTAÇÃO;0.0;0
2000-11-01;EXPORTAÇÃO;245182.6802;38934539
2000-10-01;EXPORTAÇÃO;0.0;0
2000-09-01;EXPORTAÇÃO;28.08925642;27486
2000-04-01;IMPORTAÇÃO;1717433.541;323484334
2000-08-01;IMPORTAÇÃO;2753271.691;519766652
2000-12-01;IMPORTAÇÃO;1486358.89;300427821
2000-02-01;IMPORTAÇÃO;1837306.432;322272219
2000-01-01;IMPORTAÇÃO;1290550.568;217681804
2000-07-01;IMPORTAÇÃO;1939384.258;375438416
2000-06-01;IMPORTAÇÃO;2483588.63;450747845
2000-05-01;IMPORTAÇÃO;2159317.299;341558361
2000-03-01;IMPORTAÇÃO;2119427.893;397505540
2000-11-01;IMPORTAÇÃO;1474147.784;295353034
2000-10-01;IMPORTAÇÃO;1699983.718;354696297
2000-09-01;IMPORTAÇÃO;2140166.66;406683061
2001-04-01;EXPORTAÇÃO;748724.3163;79974562
2001-08-01;EXPORTAÇÃO;391767.5872;47229478
2001-12-01;EXPORTAÇÃO;1057664.932;88828204
2001-02-01;EXPORTAÇÃO;738842.4541;85843872
2001-01-01;EXPORTAÇÃO;482738.5317;66156287
2001-07-01;EXPORTAÇÃO;616281.9161;74907022
2001-06-01;EXPORTAÇÃO;706233.0049;87475491
2001-05-01;EXPORTAÇÃO;741129.7937;75495898
2001-03-01;EXPORTAÇÃO;62826.26458;8562194
2001-11-01;EXPORTAÇÃO;279997.0439;35941686
2001-10-01;EXPORTAÇÃO;393100.3674;45721755
2001-09-01;EXPORTAÇÃO;209173.6961;24735018
2001-04-01;IMPORTAÇÃO;1419867.271;222246150
2001-08-01;IMPORTAÇÃO;2583800.741;423977588
2001-12-01;IMPORTAÇÃO;2080112.922;262431101
2001-02-01;IMPORTAÇÃO;1618981.199;285981303
2001-01-01;IMPORTAÇÃO;2081777.052;353225516
2001-07-01;IMPORTAÇÃO;1884416.415;340138400
2001-06-01;IMPORTAÇÃO;2671940.565;463816936
2001-05-01;IMPORTAÇÃO;1644812.38;284745212
2001-03-01;IMPORTAÇÃO;1827976.918;337866181
2001-11-01;IMPORTAÇÃO;1893801.902;256319394
2001-10-01;IMPORTAÇÃO;2656514.357;448425287
2001-09-01;IMPORTAÇÃO;1830965.243;290462798
2002-04-01;EXPORTAÇÃO;1013538.099;116807682
2002-08-01;EXPORTAÇÃO;1274312.249;166749234
2002-12-01;EXPORTAÇÃO;1423077.514;175203918
2002-02-01;EXPORTAÇÃO;547210.5245;45354146
2002-01-01;EXPORTAÇÃO;552396.8787;43039514
2002-07-01;EXPORTAÇÃO;2541184.281;318458938
2002-06-01;EXPORTAÇÃO;395299.2798;53591019
2002-05-01;EXPORTAÇÃO;1099351.913;141431989
2002-03-01;EXPORTAÇÃO;1203002.721;110677852
2002-11-01;EXPORTAÇÃO;824641.0317;116558589
2002-10-01;EXPORTAÇÃO;1603306.24;238460316
2002-09-01;EXPORTAÇÃO;1157500.411;165038539
2002-04-01;IMPORTAÇÃO;2143573.429;326273424
2002-08-01;IMPORTAÇÃO;1298684.651;219213839
2002-12-01;IMPORTAÇÃO;2076271.419;337439925
2002-02-01;IMPORTAÇÃO;1803683.437;210621960
2002-01-01;IMPORTAÇÃO;1565295.797;162625385
2002-07-01;IMPORTAÇÃO;1751512.486;277326035
2002-06-01;IMPORTAÇÃO;1267709.797;205576218
2002-05-01;IMPORTAÇÃO;2427338.768;404465186
2002-03-01;IMPORTAÇÃO;1748130.4;219831794
2002-11-01;IMPORTAÇÃO;1916068.948;354366611
2002-10-01;IMPORTAÇÃO;1995041.361;355854191
2002-09-01;IMPORTAÇÃO;2062286.515;344407372
2003-04-01;EXPORTAÇÃO;714792.9165;104745062
2003-08-01;EXPORTAÇÃO;763285.7451;113010231
2003-12-01;EXPORTAÇÃO;1737941.278;268933182
2003-02-01;EXPORTAÇÃO;1740856.466;273683107
2003-01-01;EXPORTAÇÃO;852918.4115;122667487
2003-07-01;EXPORTAÇÃO;1059870.356;153018416
2003-06-01;EXPORTAÇÃO;971146.2535;122826413
2003-05-01;EXPORTAÇÃO;933414.7935;112243387
2003-03-01;EXPORTAÇÃO;1335292.445;252928793
2003-11-01;EXPORTAÇÃO;1127795.972;175959350
2003-10-01;EXPORTAÇÃO;1409557.719;205555410
2003-09-01;EXPORTAÇÃO;1383157.46;216359485
2003-04-01;IMPORTAÇÃO;2031223.262;400320942
2003-08-01;IMPORTAÇÃO;1694618.881;326008332
2003-12-01;IMPORTAÇÃO;1031195.629;201563567
2003-02-01;IMPORTAÇÃO;1744121.865;360626059
2003-01-01;IMPORTAÇÃO;1624323.947;317694036
2003-07-01;IMPORTAÇÃO;1399148.713;261244558
2003-06-01;IMPORTAÇÃO;1520770.929;247080158
2003-05-01;IMPORTAÇÃO;955600.0199;167194269
2003-03-01;IMPORTAÇÃO;1495444.799;328897815
2003-11-01;IMPORTAÇÃO;1998672.417;372356545
2003-10-01;IMPORTAÇÃO;2377848.244;444151123
2003-09-01;IMPORTAÇÃO;2085511.374;392975513
2004-04-01;EXPORTAÇÃO;426625.2612;76173983
2004-08-01;EXPORTAÇÃO;1658509.767;321934004
2004-12-01;EXPORTAÇÃO;962787.6749;221454284
2004-02-01;EXPORTAÇÃO;1230354.491;200683383
2004-01-01;EXPORTAÇÃO;1457948.641;229737858
2004-07-01;EXPORTAÇÃO;1221364.846;231719816
2004-06-01;EXPORTAÇÃO;1517559.775;295307681
