Data;World;Afghanistan;Albania;Algeria;American Samoa;Angola;Antarctica;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei;Bulgaria;Burkina Faso;Burma;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo-Brazzaville;Congo-Kinshasa;Cook Islands;Costa Rica;Cote d'Ivoire;Croatia;Cuba;Cyprus;Czechia;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Eswatini;Ethiopia;Falkland Islands;Faroe Islands;Fiji;Finland;Former Czechoslovakia;Former Serbia and Montenegro;Former U.S.S.R.;Former Yugoslavia;France;French Guiana;French Polynesia;Gabon;Gambia, The;Georgia;Germany;Germany, East;Germany, West;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Hawaiian Trade Zone;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Lithuania;Luxembourg;Macau;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Martinique;Mauritania;Mauritius;Mexico;Micronesia;Moldova;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Namibia;Nauru;Nepal;Netherlands;Netherlands Antilles;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;North Korea;North Macedonia;Northern Mariana Islands;Norway;Oman;Pakistan;Palestinian Territories;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Reunion;Romania;Russia;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent/Grenadines;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Korea;South Sudan;Spain;Sri Lanka;Sudan;Suriname;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;The Bahamas;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkiye;Turkmenistan;Turks and Caicos Islands;Tuvalu;U.S. Pacific Islands;U.S. Territories;U.S. Virgin Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;Wake Island;Western Sahara;Yemen;Zambia;Zimbabwe
1993-01-01;66906.949;0.0;11.0;1324.0;0.0;500.0;0.0;0.0;625.0;0.0;0.0;553.0;22.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;657.0;0.0;188.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2063.0;0.0;0.0;0.0;20.0;2884.0;479.0;0.0;185.0;23.0;0.0;0.0;6.0;41.0;20.0;0.0;0.0;162.0;0.0;0.0;0.0;332.0;965.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;67.0;0.0;0.0;295.0;0.0;1.0;72.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.0;541.0;1620.0;3750.0;455.0;0.0;0.0;85.0;0.0;20.0;0.0;485.0;0.0;0.0;0.0;1659.0;2.0;0.0;0.0;0.0;0.0;0.0;1478.0;0.0;0.0;0.0;0.0;0.0;627.0;0.0;0.0;0.0;0.0;0.0;0.0;3063.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;66.0;0.0;0.0;61.0;0.0;0.0;2019.0;0.0;0.0;0.0;0.0;2089.0;770.0;60.0;0.0;0.0;130.0;0.0;126.0;10.0;4.0;0.0;0.0;490.0;0.0;139.0;7128.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9221.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;130.0;0.0;0.0;28.0;0.0;0.0;5.0;0.0;0.0;568.0;2.0;1.0;0.0;65.0;0.0;0.0;0.0;0.0;128.0;102.0;0.0;88.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2530.0;2034.0;10040.749;0.0;70.0;0.0;2528.0;120.0;0.0;0.0;192.0;0.0;0.0
1993-02-01;67167.756;0.0;11.0;1324.0;0.0;510.0;0.0;0.0;615.0;0.0;0.0;577.0;23.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;663.0;0.0;188.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2086.0;0.0;0.0;0.0;20.0;2873.0;483.0;0.0;185.0;23.0;0.0;0.0;6.0;41.0;20.0;0.0;0.0;160.0;0.0;0.0;0.0;332.0;965.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;67.0;0.0;0.0;300.0;0.0;1.0;82.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.0;570.0;1624.0;3825.0;455.0;0.0;0.0;89.0;0.0;21.0;0.0;485.0;0.0;0.0;0.0;1891.0;2.0;0.0;0.0;0.0;0.0;0.0;1478.0;0.0;0.0;0.0;0.0;0.0;653.0;0.0;0.0;0.0;0.0;0.0;0.0;3069.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;65.0;0.0;0.0;62.0;0.0;0.0;2054.0;0.0;0.0;0.0;0.0;2229.0;760.0;60.0;0.0;0.0;123.0;0.0;124.0;10.0;4.0;0.0;0.0;490.0;0.0;141.0;7100.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9121.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;130.0;0.0;0.0;20.0;0.0;0.0;5.0;0.0;0.0;573.0;2.0;1.0;0.0;68.0;0.0;0.0;0.0;0.0;128.0;102.0;0.0;88.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2543.0;2167.0;9679.556;0.0;70.0;0.0;2538.0;120.0;0.0;0.0;192.0;0.0;0.0
1993-03-01;66038.889;0.0;11.0;1314.0;0.0;525.0;0.0;0.0;576.0;0.0;0.0;573.0;15.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;646.0;0.0;188.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2133.0;0.0;0.0;0.0;20.0;2885.0;447.0;0.0;185.0;23.0;0.0;0.0;6.0;41.0;20.0;0.0;0.0;163.0;0.0;0.0;0.0;332.0;965.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;70.0;0.0;0.0;297.0;0.0;1.0;85.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.0;544.0;1612.0;3680.0;455.0;0.0;0.0;83.0;0.0;19.0;0.0;485.0;0.0;0.0;0.0;1560.0;2.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.0;0.0;0.0;0.0;0.0;643.0;0.0;0.0;0.0;0.0;0.0;0.0;3092.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;63.0;0.0;0.0;66.0;0.0;0.0;2018.0;0.0;0.0;0.0;0.0;2435.0;766.0;60.0;0.0;0.0;137.0;0.0;124.0;10.0;4.0;0.0;0.0;450.0;0.0;142.0;7087.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8846.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;130.0;0.0;0.0;30.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;68.0;0.0;0.0;0.0;0.0;127.0;102.0;0.0;88.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2466.0;1898.0;9768.289;0.0;70.0;0.0;2428.0;120.0;0.0;0.0;192.0;0.0;0.0
1993-04-01;65740.441;0.0;11.0;1309.0;0.0;525.0;0.0;0.0;620.0;0.0;0.0;586.0;24.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;25.0;0.0;0.0;645.0;0.0;188.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2118.0;0.0;0.0;0.0;19.0;2896.0;447.0;0.0;185.0;23.0;0.0;0.0;6.0;41.0;20.0;0.0;0.0;159.0;0.0;0.0;0.0;332.0;965.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;70.0;0.0;0.0;295.0;0.0;1.0;87.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;0.0;551.0;1567.0;3600.0;455.0;0.0;0.0;86.0;0.0;18.0;0.0;500.0;0.0;0.0;0.0;1575.0;2.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.0;0.0;0.0;0.0;0.0;634.0;0.0;0.0;0.0;0.0;0.0;0.0;3128.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;63.0;0.0;0.0;77.0;0.0;0.0;1915.0;0.0;0.0;0.0;0.0;2447.0;763.0;60.0;0.0;0.0;131.0;0.0;121.0;10.0;5.0;0.0;0.0;460.0;0.0;145.0;7073.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8846.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;130.0;0.0;0.0;30.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;67.0;0.0;0.0;0.0;0.0;124.0;102.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2438.0;1882.0;9625.841;0.0;75.0;0.0;2428.0;120.0;0.0;0.0;192.0;0.0;0.0
1993-05-01;65598.901;0.0;11.0;1304.0;0.0;520.0;0.0;0.0;638.0;0.0;0.0;609.0;24.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;25.0;0.0;0.0;646.0;0.0;188.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2054.0;0.0;0.0;0.0;19.0;2927.0;467.0;0.0;185.0;23.0;0.0;0.0;6.0;41.0;20.0;0.0;0.0;156.0;0.0;0.0;0.0;352.0;965.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;66.0;0.0;0.0;295.0;0.0;1.0;77.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;0.0;488.0;1596.0;3650.0;455.0;0.0;0.0;86.0;0.0;17.0;0.0;500.0;0.0;0.0;0.0;1575.0;2.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.0;0.0;0.0;0.0;0.0;637.0;0.0;0.0;0.0;0.0;0.0;0.0;3135.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;85.0;0.0;0.0;1962.0;0.0;0.0;0.0;0.0;2367.0;770.0;60.0;0.0;0.0;120.0;0.0;124.0;10.0;5.0;0.0;0.0;470.0;0.0;147.0;6978.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8821.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;130.0;0.0;0.0;27.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;69.0;0.0;0.0;0.0;0.0;124.0;102.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2434.0;1918.0;9546.501;0.0;75.0;0.0;2428.0;120.0;0.0;0.0;192.0;0.0;0.0
1993-06-01;65365.926;0.0;11.0;1304.0;0.0;475.0;0.0;0.0;641.0;0.0;0.0;610.0;24.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;655.0;0.0;188.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2195.0;0.0;0.0;0.0;19.0;2957.0;490.0;0.0;185.0;23.0;0.0;0.0;6.0;41.0;20.0;0.0;0.0;165.0;0.0;0.0;0.0;344.0;965.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;63.0;0.0;0.0;295.0;0.0;1.0;81.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;0.0;534.0;1610.0;3700.0;455.0;0.0;0.0;85.0;0.0;17.0;0.0;500.0;0.0;0.0;0.0;1645.0;2.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.0;0.0;0.0;0.0;0.0;638.0;0.0;0.0;0.0;0.0;0.0;0.0;3136.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.0;0.0;0.0;73.0;0.0;0.0;1904.0;0.0;0.0;0.0;0.0;2067.0;772.0;60.0;0.0;0.0;102.0;0.0;126.0;10.0;5.0;0.0;0.0;480.0;0.0;148.0;6918.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8821.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;130.0;0.0;0.0;25.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;69.0;0.0;0.0;0.0;0.0;122.0;102.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2464.0;1823.0;9471.326;0.0;75.0;0.0;2428.0;120.0;0.0;0.0;192.0;0.0;0.0
1993-07-01;66008.115;0.0;11.0;1309.0;0.0;453.0;0.0;0.0;651.0;0.0;0.0;577.0;24.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;659.0;0.0;193.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2211.0;0.0;0.0;0.0;20.0;2930.0;435.0;0.0;190.0;23.0;0.0;0.0;6.0;38.0;20.0;0.0;0.0;162.0;0.0;0.0;0.0;340.0;965.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;66.0;0.0;0.0;295.0;0.0;1.0;80.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;536.0;1595.0;3800.0;455.0;0.0;0.0;86.0;0.0;17.0;0.0;466.0;0.0;0.0;0.0;1795.0;2.0;0.0;0.0;0.0;0.0;0.0;1388.0;0.0;0.0;0.0;0.0;0.0;618.0;0.0;0.0;0.0;0.0;0.0;0.0;3117.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.0;0.0;0.0;72.0;0.0;0.0;1969.0;0.0;0.0;0.0;0.0;2465.0;785.0;58.0;0.0;0.0;122.0;0.0;126.0;10.0;4.0;0.0;0.0;480.0;0.0;147.0;6683.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8851.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;131.0;0.0;0.0;24.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;68.0;0.0;0.0;0.0;0.0;122.0;102.0;0.0;82.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2462.0;2118.0;9406.915;0.0;82.0;0.0;2443.0;125.0;0.0;0.0;217.0;0.0;0.0
1993-08-01;65785.375;0.0;11.0;1304.0;0.0;470.0;0.0;0.0;642.0;0.0;0.0;563.0;23.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;672.0;0.0;193.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2279.0;0.0;0.0;0.0;19.0;2856.0;406.0;0.0;190.0;23.0;0.0;0.0;6.0;38.0;20.0;0.0;0.0;158.0;0.0;0.0;0.0;344.0;965.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;64.0;0.0;0.0;290.0;0.0;1.0;76.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;548.0;1594.0;3650.0;455.0;0.0;0.0;80.0;0.0;17.0;0.0;488.0;0.0;0.0;0.0;1855.0;2.0;0.0;0.0;0.0;0.0;0.0;1388.0;0.0;0.0;0.0;0.0;0.0;623.0;0.0;0.0;0.0;0.0;0.0;0.0;3101.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.0;0.0;0.0;74.0;0.0;0.0;1971.0;0.0;0.0;0.0;0.0;2329.0;790.0;58.0;0.0;0.0;120.0;0.0;126.0;10.0;4.0;0.0;0.0;480.0;0.0;148.0;6596.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8821.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;131.0;0.0;0.0;21.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;68.0;0.0;0.0;0.0;0.0;119.0;102.0;0.0;82.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2437.0;2165.0;9522.775;0.0;82.0;0.0;2443.0;125.0;0.0;0.0;222.0;0.0;0.0
1993-09-01;66267.798;0.0;11.0;1299.0;0.0;490.0;0.0;0.0;642.0;0.0;0.0;570.0;24.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;27.0;0.0;0.0;681.0;0.0;193.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2264.0;0.0;0.0;0.0;19.0;2883.0;478.0;0.0;190.0;23.0;0.0;0.0;6.0;38.0;20.0;0.0;0.0;170.0;0.0;0.0;0.0;344.0;965.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;64.0;0.0;0.0;290.0;0.0;1.0;82.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;550.0;1587.0;3800.0;535.0;0.0;0.0;101.0;0.0;18.0;0.0;488.0;0.0;0.0;0.0;1935.0;2.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.0;0.0;0.0;0.0;0.0;631.0;0.0;0.0;0.0;0.0;0.0;0.0;3150.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;60.0;0.0;0.0;76.0;0.0;0.0;2073.0;0.0;0.0;0.0;0.0;2269.0;770.0;58.0;0.0;0.0;121.0;0.0;127.0;10.0;4.0;0.0;0.0;480.0;0.0;148.0;6582.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8821.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;131.0;0.0;0.0;24.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;68.0;0.0;0.0;0.0;0.0;122.0;102.0;0.0;82.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2445.0;2187.0;9443.798;0.0;82.0;0.0;2443.0;125.0;0.0;0.0;227.0;0.0;0.0
1993-10-01;66932.833;0.0;11.0;1299.0;0.0;520.0;0.0;0.0;683.0;0.0;0.0;478.0;23.0;218.0;54.0;3.0;1.0;40.0;0.0;0.0;4.0;0.0;0.0;26.0;0.0;0.0;703.0;0.0;193.0;1.0;0.0;13.0;0.0;0.0;0.0;130.0;2250.0;0.0;0.0;0.0;19.0;2975.0;469.0;0.0;195.0;23.0;0.0;0.0;6.0;38.0;20.0;0.0;0.0;177.0;0.0;0.0;0.0;349.0;960.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;70.0;0.0;0.0;290.0;0.0;1.0;79.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;555.0;1550.0;3670.0;535.0;0.0;0.0;82.0;0.0;17.0;0.0;488.0;0.0;0.0;0.0;1905.0;1.0;0.0;0.0;0.0;0.0;0.0;1388.0;0.0;0.0;0.0;0.0;0.0;635.0;0.0;0.0;0.0;0.0;0.0;0.0;3200.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;65.0;0.0;0.0;73.0;0.0;0.0;1992.0;0.0;0.0;0.0;0.0;2584.0;812.0;58.0;0.0;0.0;137.0;0.0;129.0;10.0;6.0;0.0;0.0;465.0;0.0;145.0;6534.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8791.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;131.0;0.0;0.0;24.0;0.0;0.0;5.0;0.0;0.0;578.0;2.0;1.0;0.0;68.0;0.0;0.0;0.0;0.0;123.0;102.0;0.0;76.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;2454.0;2409.0;9630.033;0.0;93.0;0.0;2528.0;140.0;0.0;0.0;233.0;0.0;0.0
