Data;Exportações - petróleo - quantidade - Metro cúbico - Agência Nacional do Petróleo (ANP) - ANP_XPET;
1958;1319;
1959;1693;
1960;667;
1961;1214;
1962;343;
1963;415;
1964;;
1965;;
1966;;
1967;;
1968;;
1969;;
1970;-76;
1971;-890;
1972;-1228;
1973;-998;
1974;-774;
1975;-1257;
1976;-3336;
1977;-1573;
1978;-281;
1979;0;
1980;-70;
1981;-856;
1982;-1281;
1983;-59;
1984;0;
1985;0;
1986;0;
1987;0;
1988;-216;
1989;0;
1990;0;
1991;0;
1992;0;
1993;0;
1994;0;
1995;-780;
1996;-120;
1997;-148;
1998;0;
1999;-34;
2000;-1084;
2001;-6428;
2002;-13635;
2003;-14030;
2004;-13395;
2005;-15930,2814880532;
2006;-21357;
2007;-24454,189;
2008;-25137,5104733076;
2009;-30503;
2010;-36645,2395337815;
2011;-35080;
2012;-30951,16;
2013;-23045,652;
2014;-30112,417;
2015;-42753,341;
2016;-49172,086;
2017;-60473,245;
2018;-62544,316;
2019;-71276,828;
2020;-79556,757;
2021;-72640,239;
2022;-78091,619;
