Data;Importações - petróleo - quantidade - Metro cúbico - Agência Nacional do Petróleo (ANP) - ANP_MPET;
1935;3;
1936;15;
1937;44;
1938;55;
1939;49;
1940;57;
1941;53;
1942;13;
1943;42;
1944;21;
1945;12;
1946;42;
1947;10;
1948;;
1949;;
1950;13;
1951;23;
1952;20;
1953;35;
1954;164;
1955;4052;
1956;5639;
1957;5590;
1958;6520;
1959;6623;
1960;6556;
1961;8707;
1962;11489;
1963;11966;
1964;12461;
1965;11819;
1966;13059;
1967;12179;
1968;14446;
1969;15422;
1970;20848;
1971;23732;
1972;30032;
1973;40890;
1974;40261;
1975;41683;
1976;47828;
1977;47330;
1978;52275;
1979;58197;
1980;50564;
1981;49026;
1982;46291;
1983;42321;
1984;37791;
1985;31629;
1986;34872;
1987;35882;
1988;37165;
1989;34336;
1990;33121;
1991;30510;
1992;30748;
1993;29487;
1994;32061;
1995;29209;
1996;33095;
1997;33341;
1998;31933;
1999;27289;
2000;23109;
2001;24243;
2002;22165;
2003;19885;
2004;26162;
2005;19916,336222805;
2006;19421;
2007;24120;
2008;22122,1;
2009;21761,7;
2010;19658,5258602347;
2011;19258;
2012;20017,099;
2013;22890,565;
2014;20317,226;
2015;17277,1702698546;
2016;8988,337;
2017;8407,427204;
2018;10804,965;
2019;9972,387;
2020;9746,876;
2021;8133,621;
2022;14280,089;
